,id,from,at,to,open,close,min,max,volume
101,4159192,2025-10-15 06:33:00,2025-10-15 06:34:00,2025-10-15 06:34:00,1.120345,1.119495,1.119295,1.120345,0
102,4159193,2025-10-15 06:34:00,2025-10-15 06:35:00,2025-10-15 06:35:00,1.119495,1.120775,1.119035,1.120775,0
103,4159194,2025-10-15 06:35:00,2025-10-15 06:36:00,2025-10-15 06:36:00,1.120725,1.119345,1.119345,1.120955,0
104,4159195,2025-10-15 06:36:00,2025-10-15 06:37:00,2025-10-15 06:37:00,1.119535,1.118995,1.118735,1.119555,0
105,4159196,2025-10-15 06:37:00,2025-10-15 06:38:00,2025-10-15 06:38:00,1.118725,1.120475,1.118615,1.120475,0
106,4159197,2025-10-15 06:38:00,2025-10-15 06:39:00,2025-10-15 06:39:00,1.120565,1.121215,1.120475,1.121725,0
107,4159198,2025-10-15 06:39:00,2025-10-15 06:40:00,2025-10-15 06:40:00,1.121245,1.121295,1.120725,1.121365,0
108,4159199,2025-10-15 06:40:00,2025-10-15 06:41:00,2025-10-15 06:41:00,1.121365,1.120435,1.120125,1.121485,0
109,4159200,2025-10-15 06:41:00,2025-10-15 06:42:00,2025-10-15 06:42:00,1.120615,1.121895,1.120615,1.122085,0
110,4159201,2025-10-15 06:42:00,2025-10-15 06:43:00,2025-10-15 06:43:00,1.121895,1.122435,1.121895,1.122885,0
111,4159202,2025-10-15 06:43:00,2025-10-15 06:44:00,2025-10-15 06:44:00,1.122365,1.121605,1.121295,1.122485,0
112,4159203,2025-10-15 06:44:00,2025-10-15 06:45:00,2025-10-15 06:45:00,1.121655,1.121665,1.120865,1.121995,0
113,4159204,2025-10-15 06:45:00,2025-10-15 06:46:00,2025-10-15 06:46:00,1.121665,1.121605,1.121225,1.121915,0
114,4159205,2025-10-15 06:46:00,2025-10-15 06:47:00,2025-10-15 06:47:00,1.121445,1.122435,1.121315,1.122765,0
115,4159206,2025-10-15 06:47:00,2025-10-15 06:48:00,2025-10-15 06:48:00,1.122435,1.122535,1.121955,1.122785,0
116,4159207,2025-10-15 06:48:00,2025-10-15 06:49:00,2025-10-15 06:49:00,1.122455,1.122665,1.121805,1.122855,0
117,4159208,2025-10-15 06:49:00,2025-10-15 06:50:00,2025-10-15 06:50:00,1.122575,1.122835,1.122445,1.123345,0
